platform,primary_genre,total_titles
"Amazon Prime",Drama,2216
"Amazon Prime",Action,1657
"Amazon Prime",Comedy,1475
"Amazon Prime",Documentary,913
"Amazon Prime",Horror,535
"Amazon Prime",Animation,498
"Amazon Prime",Arts,457
"Amazon Prime",Kids,373
"Amazon Prime","TV Shows",263
"Amazon Prime",Suspense,194
"Amazon Prime","Special Interest",188
"Amazon Prime",Arthouse,132
"Amazon Prime",Romance,126
"Amazon Prime","Music Videos and Concerts",103
"Amazon Prime",Western,102
"Amazon Prime","Science Fiction",85
"Amazon Prime",Fitness,83
"Amazon Prime",Adventure,71
"Amazon Prime",International,47
"Amazon Prime",Anime,44
"Amazon Prime",Unscripted,29
"Amazon Prime",Sports,19
"Amazon Prime",Fantasy,18
"Amazon Prime","Faith and Spirituality",13
"Amazon Prime",LGBTQ,13
"Amazon Prime","Military and War",5
"Amazon Prime","Young Adult Audience",3
"Amazon Prime",Historical,3
"Amazon Prime","Talk Show and Variety",3
Disney+,"Action & Adventure",452
Disney+,Animation,320
Disney+,Comedy,193
Disney+,"Animals & Nature",173
Disney+,Documentary,65
Disney+,"Coming of Age",56
Disney+,Biographical,35
Disney+,Docuseries,33
Disney+,Drama,27
Disney+,Buddy,20
Disney+,Family,20
Disney+,Anthology,12
Disney+,Fantasy,8
Disney+,"Concert Film",7
Disney+,Reality,4
Disney+,Series,3
Disney+,Movies,3
Disney+,Kids,3
Disney+,Crime,3
Disney+,Historical,2
Disney+,"Science Fiction",2
Disney+,Musical,2
Disney+,"Talk Show",1
Disney+,Lifestyle,1
Disney+,"Game Show / Competition",1
Disney+,Music,1
Disney+,Sports,1
Disney+,Dance,1
Disney+,Variety,1
Hulu,Action,555
Hulu,Comedy,468
Hulu,Documentary,433
Hulu,Drama,415
Hulu,Crime,162
Hulu,Horror,149
Hulu,Anime,131
Hulu,"Black Stories",105
Hulu,Adventure,81
Hulu,"Cooking & Food",80
Hulu,Reality,74
Hulu,Sports,74
Hulu,News,65
Hulu,Family,49
Hulu,"Lifestyle & Culture",43
Hulu,Kids,41
Hulu,"Adult Animation",29
Hulu,Classics,23
Hulu,"Game Shows",15
Hulu,Cartoons,14
Hulu,Thriller,13
Hulu,Latino,12
Hulu,"Science Fiction",10
Hulu,International,7
Hulu,Music,6
Hulu,"Science & Technology",6
Hulu,Romance,6
Hulu,History,3
Hulu,"Health & Wellness",2
Hulu,Mystery,2
Netflix,Drama,1600
Netflix,Comedy,1210
Netflix,"Action & Adventure",859
Netflix,Documentary,829
Netflix,"International TV Shows",774
Netflix,"Children & Family Movies",605
Netflix,"Crime TV Shows",399
Netflix,"Kids' TV",388
Netflix,"Stand-Up Comedy",334
Netflix,"Horror Movies",275
Netflix,"British TV Shows",253
Netflix,Docuseries,221
Netflix,"Anime Series",176
Netflix,"International Movies",128
Netflix,"Reality TV",120
Netflix,"TV Comedies",120
Netflix,"Classic Movies",80
Netflix,"TV Dramas",67
Netflix,Thriller,65
Netflix,Movies,57
Netflix,"TV Action & Adventure",40
Netflix,"Stand-Up Comedy & Talk Shows",34
Netflix,"Romantic TV Shows",32
Netflix,"Classic & Cult TV",22
Netflix,"Anime Features",21
Netflix,"Independent Movies",20
Netflix,"Music & Musicals",18
Netflix,"TV Shows",16
Netflix,"Sci-Fi & Fantasy",13
Netflix,"Cult Movies",12
Netflix,"TV Horror",11
Netflix,"Romantic Movies",3
Netflix,"Spanish-Language TV Shows",2
Netflix,"TV Sci-Fi & Fantasy",1
Netflix,"LGBTQ Movies",1
Netflix,"Sports Movies",1
