rating,total_titles
TV-MA,3675
TV-14,3138
R,2154
13+,2117
TV-PG,1654
16+,1547
ALL,1268
18+,1243
PG-13,1112
PG,881
Unknown,864
TV-G,767
TV-Y7,550
TV-Y,462
G,405
7+,385
NR,304
TV-NR,105
"1 Season",42
UNRATED,33
TV-Y7-FV,19
"89 min",11
"2 Seasons",9
"91 min",9
"90 min",9
"80 min",9
"85 min",8
"94 min",8
"88 min",8
"99 min",8
"93 min",7
"98 min",7
"101 min",7
"96 min",7
NC-17,6
"92 min",6
"87 min",6
"104 min",6
"97 min",6
"78 min",6
"84 min",5
"86 min",5
"3 Seasons",5
"95 min",5
"109 min",5
"82 min",5
"6 Seasons",4
"7 min",4
UR,3
AGES_18_,3
NOT_RATE,3
"100 min",3
"75 min",3
"103 min",3
"105 min",3
"114 min",3
"110 min",3
"81 min",3
"73 min",3
"102 min",3
"76 min",3
AGES_16_,2
"83 min",2
"107 min",2
"111 min",2
"112 min",2
"106 min",2
"77 min",2
"79 min",2
"74 min",1
"66 min",1
16,1
ALL_AGES,1
"NOT RATED",1
"4 Seasons",1
"136 min",1
"121 min",1
"67 min",1
"119 min",1
"130 min",1
"49 min",1
"45 min",1
"41 min",1
"40 min",1
"36 min",1
"39 min",1
"34 min",1
"47 min",1
"65 min",1
"37 min",1
"129 min",1
"115 min",1
"61 min",1
"157 min",1
"28 min",1
"64 min",1
"5 min",1
"6 min",1
"127 min",1
"142 min",1
"108 min",1
"57 min",1
"118 min",1
"116 min",1
"12 Seasons",1
"71 min",1
